"Product Safety Warning Number","Product Safety Warning Date","Product Safety Warning Title","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement",Units,Incidents,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25-275,"May 15, 2025","CPSC Warns Consumers to Immediately Stop Using KIDINIX Infant Swings Due to Risk of Serious Injury from Fall Hazard; Multiple Federal Safety Violations","KIDINIX infant swings","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using KIDINIX infant swings because they violate the federal regulation for structural integrity for infant swings and pose a fall hazard to babies.In addition, the swings violate the mandatory federal regulation for consumer products containing button cell and coin batteries. The remote controls for the swings contain a lithium coin battery, and the products do not bear the warning labels required under Reese’s Law. If button cell or coin batteries are swallowed by children, the ingested batteries can cause serious injuries, including internal chemical burns, and death.CPSC issued a Notice of Violation to the seller, Shenzhenshi Guanshengxiang Maoyiyouxiangongsi, of China, which has not agreed to recall these KIDINIX infant swings or offer a remedy to consumers. About 370 infant swings were sold online at Amazon.com from March 2024 through March 2025 for between $88 and $110. The infant swings are pink, and “Baby Auto Swing” and “Model: BB701” are printed on labels attached to the bottom of the swing. &nbsp;These products were manufactured in China.CPSC urges consumers to stop using the infant swings immediately and dispose of them. Button cell and coin batteries are hazardous. The battery in the remotes should be disposed of or recycled following local hazardous waste procedures. Do not sell or give away these hazardous infant swings.Report any incidents involving injury or product defect to CPSC at www.SaferProducts.gov.","The swings violate the federal regulation for structural integrity for infant swings and pose a fall hazard to babies. In addition, the swings violate the mandatory federal regulation for consumer products containing button cell and coin batteries. The remote controls for the swings contain a lithium coin battery, and the products do not bear the warning labels required under Reese’s Law. If button cell or coin batteries are swallowed by children, the ingested batteries can cause serious injuries, including internal chemical burns, and death.","CPSC urges consumers to stop using the infant swings immediately and dispose of them. Button cell and coin batteries are hazardous. The battery in the remotes should be disposed of or recycled following local hazardous waste procedures. Do not sell or give away these hazardous infant swings.",,,,"Sold At","About 370 infant swings were sold online at Amazon.com from March 2024 through March 2025 for between $88 and $110.",,,,China,,
25-274,"May 15, 2025","CPSC Warns Consumers to Immediately Stop Using Pulse Performance Products Youth All-Terrain Vehicles (ATVs) Due to Risk of Serious Injury or Death from Collision and Crash Hazards; Violations of the Federal Regulations for ATVs","Pulse Performance Products Electric Quad Youth ATVs","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Pulse Performance Products Electric Quad Youth ATVs. The ATVs are missing parking brakes and all required safety reflectors, which reduces visibility of the youth ATV to other vehicles. Missing both of these features poses a collision hazard. The ATVs’ mechanical suspension also fails safety standard requirements, which poses a crash hazard. ATVs that fail to meet the mandatory safety requirements pose a risk of serious injury or death to the rider.Additionally, the youth ATVs lack a federally mandated CPSC-approved ATV action plan, which is required to manufacture, import, sell, or distribute any new assembled or unassembled ATVs in the United States. Federal law requires ATV action plans to ensure that the industry promotes ATV safety, including rider training, dissemination of safety information, age recommendations and other safety measures.CPSC’s latest data show that Off Highway Vehicles (OHVs), including ATVs, are associated with an annual average of more than 800 deaths and an estimated 100,000 emergency department-treated injuries. (Learn more about OHV safety here: OHV &amp; ATV Safety | CPSC.gov).The seller, Bravo Sports, previously located in Santa Fe Springs, California, is no longer in business and is unable to conduct a recall. &nbsp;The youth ATVs were sold online at Walmart.com and may have been sold on other websites from February 2019 through June 2024 for about $340. The ATVs are black and have the number “99” in red on the front fender of the ATV. The brand name “PULSE PERFORMANCE PRODUCTS” is written in white on the body of the ATV.These products were manufactured in China.CPSC urges consumers to stop using the ATVs immediately and dispose of them in accordance with local disposal requirements. Do not sell or give away these hazardous ATVs.Report any incidents involving injury or product defect to CPSC at www.SaferProducts.gov.","The ATVs are missing parking brakes and all required safety reflectors, which reduces visibility of the youth ATV to other vehicles. Missing both of these features poses a collision hazard. The ATVs’ mechanical suspension also fails safety standard requirements, which poses a crash hazard. ATVs that fail to meet the mandatory safety requirements pose a risk of serious injury or death to the rider.","CPSC urges consumers to stop using the ATVs immediately and dispose of them in accordance with local disposal requirements. Do not sell or give away these hazardous ATVs.",,,,"Sold At","The youth ATVs were sold online at Walmart.com and may have been sold on other websites from February 2019 through June 2024 for about $340.",,,,China,,
25-273,"May 15, 2025","CPSC Warns Consumers to Immediately Stop Using CowKid Clothing Company Children’s Sleepwear Due to Risk of Serious Injury or Death from Burn Hazard; Violations of the Federal Flammability Regulations for Children’s Sleepwear","CowKid Clothing Sleepwear","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using CowKid Clothing Sleepwear. The pajama sets and nightgowns violate the federal safety regulations for children’s sleepwear, posing a risk of burn injury or death to children.&nbsp;&nbsp;CPSC issued a Notice of Violation to the retailer, CowKid Clothing Company, of Graham, Texas. CowKid Clothing has not agreed to recall these pajamas or offer a remedy to consumers.&nbsp;&nbsp;The pajamas were sold online at cowkidclothingcompany.com for between $38 and $52. On the front of the label attached to the pajamas are the size and “Cowkid Clothing Co,” and on the back are washing instructions and “95% Cotton + 5% Spandex.”&nbsp;The pajama set is a long-sleeved, button-up top and matching pants with trim on the sleeves, collar, shirt pocket, front opening of the shirt with buttons down the center, shirt hem and pants hem. The pajama set was sold in children’s sizes ranging from 2T to 14/16Y in Poinsettia Christmas print. CPSC is aware that the pajama set was also sold in Vintage Plains, Traditional Red Cowboy, Classic Navy Cowboy, and Vintage Beige Cowboy prints, but CPSC did not test pajama sets in those prints.&nbsp;&nbsp;The nightgown has white lace trim on the chest area and on the bottom hem. It was sold in children’s sizes ranging from 12-18 months to 10/12Y in Western Unicorn print. CPSC is aware that the nightgown was also sold in Almond Horse print, but CPSC did not test nightgowns in that print.&nbsp;&nbsp;These products were manufactured in China.&nbsp;CPSC urges consumers to stop using the sleepwear immediately and dispose of them in accordance with local disposal requirements. Do not sell or give away these hazardous pajamas and nightgowns.&nbsp;Report any incidents involving injury or product defect to CPSC at www.SaferProducts.gov.&nbsp;","The pajama sets and nightgowns violate the federal safety regulations for children’s sleepwear, posing a risk of burn injury or death to children.","CPSC urges consumers to stop using the sleepwear immediately and dispose of them in accordance with local disposal requirements. Do not sell or give away these hazardous pajamas and nightgowns.",,,,"Sold Online At","The pajamas were sold online at cowkidclothingcompany.com for between $38 and $52.",,,,China,,
25-272,"May 15, 2025","CPSC Warns Consumers to Immediately Stop Using Omzer Infant Swings Due to Risk of Serious Injury or Death from Suffocation Hazard; Multiple Federal Safety Violations","Omzer infant swings","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Omzer infant swings because&nbsp;the swings were marketed for infant sleep and have an incline angle greater than 10 degrees in violation of the&nbsp;Safe Sleep for Babies Act, posing a suffocation hazard. The swings also fail to meet mandatory requirements for warnings under the infant swing standard.&nbsp;In addition, the swings violate the mandatory federal regulation for consumer products containing button cell and coin batteries. The remote controls for the swings contain a lithium coin battery and the products do not bear the warning labels required under Reese’s Law.&nbsp;If button cell or coin batteries are swallowed by children, the ingested batteries can cause serious injuries, including internal chemical burns and death.CPSC issued a Notice of Violation to the seller, Guangzhou Qidian Information Technology Co. Ltd., of China, doing business as Omzerus. Omzerus has not agreed to recall these infant swings or offer a remedy to consumers.&nbsp;About 1,075 infant swings were sold online at Amazon.com from March 2024 through March 2025 for between $64 and $200. The&nbsp;infant swings are labeled with “Baby Swing for Infants” and “Product Model: OMZ-BS01.” The label is located on the bottom of the seat of the swing.These products were manufactured in China.CPSC urges consumers to stop using the infant swings immediately and dispose of them.&nbsp;Button cell and coin batteries are hazardous. The battery in the remotes should be disposed of or recycled following local hazardous waste procedures.&nbsp;Do not sell or give away these hazardous infant swings.Parents and caregivers are reminded:&nbsp;The best place for an infant to sleep is on a firm, flat surface in a crib, bassinet or play yard.&nbsp;Use a fitted sheet only and never add blankets, pillows, padded crib bumpers, or other items to an infant’s sleeping environment.&nbsp;Infants should always be placed to sleep on their back. Infants who fall asleep in an inclined or upright position should be moved to a safe sleep environment with a firm, flat surface such as a crib, bassinet or play yard.&nbsp;Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The swings were marketed for infant sleep and have an incline angle greater than 10 degrees in violation of the&nbsp;https://www.cpsc.gov/Newsroom/News-Releases/2023/CPSC-Approves-Rules-Im… Sleep for Babies Act, posing a suffocation hazard. The swings also fail to meet mandatory requirements for warnings under the infant swing standard.&nbsp;","CPSC urges consumers to stop using the infant swings immediately and dispose of them.",,"About 1,075",,"Sold At","About 1,075 infant swings were sold online at Amazon.com from March 2024 through March 2025 for between $64 and $200.",,,,China,,
25-271,"May 15, 2025","CPSC Warns Consumers to Immediately Stop Using Apoke Hair Dryer Brushes Due to Shock and Electrocution Hazards; Risk of Serious Injury or Death","Apoke One Step hair dryer brushes","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using&nbsp;Apoke One Step hair dryer brushes. The hair dryer brushes, which lack an integrated immersion protection device, can cause death or serious injury due to electrocution and shock hazards. The hair dryer brushes are in violation of the federal regulations for hair dryers and present a substantial product hazard.&nbsp;The hair dryer bushes have been sold online via e-commerce platforms, including&nbsp;www.amazon.com, from March 2022 through March 2025 for between $10 and $40. Apoke is printed on the hair dryer brush handle and on the packaging. The affected product models are ASIN B09V13XLTM and&nbsp;B0DP6FF8XG. The hair dryer brushes were sold in a pink color with rose gold accents, and are advertised for drying, straightening and curling hair for family use.&nbsp;CPSC notified the seller, Zhongqui Zou, of China, that the hair dryer brushes do not meet U.S. safety requirements.&nbsp;Zhongqui Zou has not agreed to recall these hair dryers.&nbsp;CPSC urges consumers to immediately stop using the hair dryer brushes and destroy them by unplugging, cutting the cord, and safely disposing in the garbage.&nbsp;Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.The product was made in China.&nbsp;","The hair dryer brushes, which lack an integrated immersion protection device, can cause death or serious injury due to electrocution and shock hazards. The hair dryer brushes are in violation of the federal regulations for hair dryers and present a substantial product hazard.","CPSC urges consumers to immediately stop using the hair dryer brushes and destroy them by unplugging, cutting the cord, and safely disposing in the garbage.",,,,"Sold Online At","The hair dryer bushes have been sold online via e-commerce platforms, including www.amazon.com from March 2022 through March 2025 for between $10 and $40.",,,,China,,
25-270,"May 15, 2025","CPSC Warns Consumers to Immediately Stop Using Yiisonger Power Banks Due to Fire and Burn Hazards; Risk of Serious Injury or Death; Sold on Amazon.com","Yiisonger power banks, model KT-D007","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Yiisonger power banks, model KT-D007, because they pose a risk of serious injury and death. &nbsp;The lithium-ion battery in the defective power banks can overheat and ignite, posing fire and burn hazards to consumers. CPSC has received 79 reports of the defective power banks exploding, igniting and swelling, including one report of a serious fire resulting in $15 million in property damage.&nbsp;The private labeler, Yiisonger, has been unresponsive to CPSC requests for information about this product or a recall.&nbsp;&nbsp;The defective power banks were sold in black, blue, misty blue, purple and white. The brand name “Yiisonger” is printed on the front and the model number “KT-D007” is printed on the side. About 93,000 defective power banks were sold on Amazon.com from April 2022 through February 2025 for between $22 and $40.&nbsp; The defective power banks were manufactured in China.&nbsp; CPSC urges consumers to immediately dispose of the defective power banks following local hazardous waste disposal procedures.&nbsp;Note: Do not throw this defective lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Defective lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this defective lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact them ahead of time and ask whether they accept defective lithium-ion batteries. If they don’t, contact your municipality for further guidance.&nbsp;","The lithium-ion battery in the defective power banks can overheat and ignite, posing fire and burn hazards to consumers.","CPSC urges consumers to immediately dispose of the defective power banks following local hazardous waste disposal procedures.",,"About 93,000","CPSC has received 79 reports of the defective power banks exploding, igniting and swelling, including one report of a serious fire resulting in $15 million in property damage.","Sold At","About 93,000 defective power banks were sold on Amazon.com from April 2022 through February 2025 for between $22 and $40.",,,,China,,
25-269,"May 14, 2025","CPSC Warns Consumers to Immediately Stop Using Certain Chinese-Made Faucets Sold on Amazon.com Due to Dangerous Lead Exposure for Infants, Young Children and Pregnant Women","Certain bathroom and kitchen faucets sold on Amazon.com","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to stop using certain bathroom and kitchen faucets sold on Amazon.com that can leach lead into drinking water. Lead ingestion can cause harmful neurological effects on infants, young children, and pregnant women, including attention-related behavioral problems, decreased cognitive performance and lower IQ. CPSC advises to stop using and dispose of these faucets immediately.These warnings follow a CPSC enforcement sweep targeting dangerous faucets manufactured in China. CPSC issued a public health and safety finding to expedite public warnings about these faucets because individuals may be in danger from these product hazards.Consumers should immediately stop using the following faucets, which were tested and found to contain lead that can leach into water at levels that can be particularly harmful to infants, young children and pregnant women:VESLA HOME Kitchen Faucet sold by VESLA HOME and manufactured in ChinaKZH Bathroom Faucet sold by Yajie Sanitaryware and manufactured in ChinaCEINOL Bathroom Faucet sold by CEINOL-USA and manufactured in ChinaRainsworth Bathroom Faucet sold by Le Chang SANITARY and manufactured in ChinaNICTIE Bathroom Faucet sold by NICTIE and manufactured in ChinaHGN Kitchen Faucet sold by HGN Sanitaryware and manufactured in ChinaQomolangma Kitchen Faucet sold by Qomolangma Sanitary Ware and manufactured in ChinaKicimpro Kitchen Faucet sold by Kicimpro and manufactured in ChinaVFAUOSIT Kitchen Faucet sold by Whisper08 and manufactured in China“CPSC is taking extraordinary steps to protect Americans from toxic faucets that threaten our children,” said CPSC Acting Chairman Peter Feldman. “This Commission will not hesitate to warn Americans when necessary. CPSC remains focused on the biggest threat to American consumers: hazardous goods from China.” &nbsp;The faucets were sold online at&nbsp;Amazon.com for between $30 and $70.&nbsp;Many of these faucets lack branding or other source-identifying labels, and lack safety certifications. Check your Amazon online orders to see if you purchased these faucets.CPSC urges consumers to immediately stop using and dispose of these faucets. If consumers need to use these faucets until they can be replaced, make sure to run the water 15 seconds before consuming.In addition, consumers can do the following:Look for faucets that comply with NSF/ANSI Standard 61, which sets the criteria for product safety, including maximum allowable levels of lead and other contaminants.As a routine practice, flush faucets for 15 seconds first thing in the morning, again at the end of the day, or anytime the water hasn’t run for six hours or more. Running the water gives it less time to come into contact with any lead that may be in the plumbing system.Use only cold water for drinking, cooking and preparing baby formula. Boiling water does not remove lead from water.Regularly clean or replace your faucet’s screen (also known as an aerator) to remove sediment and particles, particularly when using the water for drinking or cooking.Call your local health department or water company to inquire about testing your water, or visit epa.gov/safewater for information on lead in drinking water.Report any incidents involving injury or product defect to CPSC at www.SaferProducts.gov.","Certain bathroom and kitchen faucets sold on Amazon.com can leach lead into drinking water.","CPSC urges consumers to immediately stop using and dispose of these faucets. If consumers need to use these faucets until they can be replaced, make sure to run the water 15 seconds before consuming.",,,,"Sold At","The faucets were sold online at Amazon.com for between $30 and $70.",,,,China,,
25-267,"May 14, 2025","CPSC Warns Consumers to Immediately Stop Using Rainsworth Brand Bathroom Faucets Sold on Amazon.com Due to Dangerous Lead Exposure for Young Children","Rainsworth brand bathroom faucets","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Rainsworth brand bathroom faucets sold on Amazon.com. The faucets were tested and found to contain lead that can leach into water at levels that can be particularly harmful to young children. The faucets were also found to leach other contaminants.Lead ingestion can cause harmful neurological effects on young children, including attention-related behavioral problems, decreased cognitive performance, and lower IQ.&nbsp;The Commission has found that the public health and safety require this notice to warn the public quickly of the hazard.The faucets are sold by Jiang Men Shi Le Chang Wei Yu You Xian Gong Si, located in China, on Amazon.com for approximately $60 under Amazon seller name Le Chang SANITARY.Jiang Men Shi Le Chang Wei Yu You Xian Gong Si&nbsp;has not agreed to an acceptable recall.CPSC urges consumers to immediately stop using and dispose of these faucets. Until these faucets can be replaced, consumers should only consume water from the faucets after running the water for 15 seconds.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The faucets were tested and found to contain lead that can leach into water at levels that can be particularly harmful to young children. The faucets were also found to leach other contaminants.","CPSC urges consumers to immediately stop using and dispose of these faucets. Until these faucets can be replaced, consumers should only consume water from the faucets after running the water for 15 seconds.",,,,"Sold At","The faucets are sold by Jiang Men Shi Le Chang Wei Yu You Xian Gong Si, located in China, on Amazon.com for approximately $60 under Amazon seller name Le Chang SANITARY.",,,,,,
25-266,"May 14, 2025","CPSC Warns Consumers to Immediately Stop Using CEINOL Brand Bathroom Faucets Sold on Amazon.com Due to Dangerous Lead Exposure for Young Children","CEINOL brand bathroom faucets","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using CEINOL brand bathroom faucets sold on Amazon.com. The faucets were tested and found to contain lead that can leach into water at levels that can be particularly harmful to young children. The faucets were also found to leach other contaminants.Lead ingestion can cause harmful neurological effects on young children, including attention-related behavioral problems, decreased cognitive performance, and lower IQ.&nbsp;The Commission has found that the public health and safety require this notice to warn the public quickly of the hazard.The faucets are sold by Chaozhoushibobangshejiyouxiangongsi, located in China, on Amazon.com for approximately $55 under Amazon seller name CEINOL-USA.Chaozhoushibobangshejiyouxiangongsi has not agreed to an acceptable recall.CPSC urges consumers to immediately stop using and dispose of these faucets. Until these faucets can be replaced, consumers should only consume water from the faucets after running the water for 15 seconds.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The faucets were tested and found to contain lead that can leach into water at levels that can be particularly harmful to young children. The faucets were also found to leach other contaminants.","CPSC urges consumers to immediately stop using and dispose of these faucets. Until these faucets can be replaced, consumers should only consume water from the faucets after running the water for 15 seconds.",,,,"Sold At","The faucets are sold by Chaozhoushibobangshejiyouxiangongsi, located in China, on Amazon.com for approximately $55 under Amazon seller name CEINOL-USA.",,,,,,
25-263,"May 14, 2025","CPSC Warns Consumers to Immediately Stop Using VESLA HOME Brand Kitchen Faucets Sold on Amazon.com Due to Dangerous Lead Exposure for Young Children","VESLA HOME brand kitchen faucets","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using VESLA HOME brand kitchen faucets sold on Amazon.com. The faucets were tested and found to contain lead that can leach into water at levels that can be particularly harmful to young children. The faucets were also found to leach other contaminants.&nbsp;Lead ingestion can cause harmful neurological effects on young children, including attention-related behavioral problems, decreased cognitive performance, and lower IQ.&nbsp;The Commission has found that the public health and safety require this notice to warn the public quickly of the hazard.The faucets are sold by&nbsp;Foshan Xuansha Home Co., Ltd., located in China, on Amazon.com for approximately $30 under Amazon seller name VESLA HOME.Foshan Xuansha Home Co., Ltd.&nbsp;has not agreed to an acceptable recall.CPSC urges consumers to immediately stop using and dispose of these faucets. Until these faucets can be replaced, consumers should only consume water from the faucets after running the water for 15 seconds.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The faucets were tested and found to contain lead that can leach into water at levels that can be particularly harmful to young children. The faucets were also found to leach other contaminants.","CPSC urges consumers to immediately stop using and dispose of these faucets. Until these faucets can be replaced, consumers should only consume water from the faucets after running the water for 15 seconds.",,,,"Sold At","The faucets are sold by Foshan Xuansha Home Co., Ltd., located in China, on Amazon.com for approximately $30 under Amazon seller name VESLA HOME.",,,,,,
25-265,"May 14, 2025","CPSC Warns Consumers to Immediately Stop Using KZH Brand Bathroom Faucets Sold on Amazon.com Due to Dangerous Lead Exposure for Young Children","KZH brand bathroom faucets","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using KZH brand bathroom faucets sold on Amazon.com. The faucets were tested and found to contain lead that can leach into water at levels that can be particularly harmful to young children. The faucets were also found to leach other contaminants.&nbsp;Lead ingestion can cause harmful neurological effects on young children, including attention-related behavioral problems, decreased cognitive performance, and lower IQ.&nbsp;The Commission has found that the public health and safety require this notice to warn the public quickly of the hazard.The faucets are sold by Ruianshi Yajieweiyujiejuyouxiangongsi, located in China, on Amazon.com for approximately $40 under Amazon seller name Yajie Sanitaryware.Ruianshi Yajieweiyujiejuyouxiangongsi&nbsp;has not agreed to an acceptable recall.CPSC urges consumers to immediately stop using and dispose of these faucets. Until these faucets can be replaced, consumers should only consume water from the faucets after running the water for 15 seconds.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The faucets were tested and found to contain lead that can leach into water at levels that can be particularly harmful to young children. The faucets were also found to leach other contaminants.","CPSC urges consumers to immediately stop using and dispose of these faucets. Until these faucets can be replaced, consumers should only consume water from the faucets after running the water for 15 seconds.",,,,"Sold At","The faucets are sold by Ruianshi Yajieweiyujiejuyouxiangongsi, located in China, on Amazon.com for approximately $40 under Amazon seller name Yajie Sanitaryware.",,,,,,
25-243,"May 1, 2025","CPSC Warns Consumers Immediately to Stop Using Magic ZC Infant Strollers Due to Risk of Serious Injury or Death from Entrapment Hazard; Multiple Violations of Federal Regulations","Magic ZC-branded model V9 infant stroller","WASHINGTON, D.C. –&nbsp;The U.S. Consumer Product Safety Commission (CPSC) is warning consumers immediately to stop using Magic ZC-branded model V9 infant strollers. The strollers pose a risk of death or serious injury to babies due to the entrapment hazard because an opening between the seat and grab bar can allow a baby to become entrapped, violating the federal stroller regulation. In addition, the hand-held infant carrier accessory sold with the stroller travel system fails to meet the markings, labeling, and instructional literature requirements under the hand-held infant carrier standard.&nbsp;The CPSC issued a Notice of Violation to Dongguanshi Maijikekeji Youxiangongsi and&nbsp;Dongguan Reborn Trade Technology Co. Ltd., dba Magic ZC, bothof China, but the firms have not agreed to an acceptable recall.&nbsp;The Magic ZC-branded 2-in-1 and 3-in-1 stroller travel systems have a foldable stroller seat that converts into a bassinet. The stroller travel systems are sold in pink, gray, peach, cream and black with golden metal accents.&nbsp; The strollers come with a bottom storage basket, rear storage bag, seat cushion, shoulder bag, mosquito net, changing mat, rain cover and bassinet footrest. “Magic ZC” is printed on the golden frame and stitched on the stroller’s seat, and “model V9” is printed on the cover of the instructional manual. The 3-in-1 stroller travel system also is sold with a hand-held infant carrier and attachment base for use in a car.These products were manufactured in China.CPSC urges consumers to stop using the strollers immediately and dispose of them. Do not sell or give away these hazardous products.Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The strollers pose a risk of death or serious injury to babies due to the entrapment hazard because an opening between the seat and grab bar can allow a baby to become entrapped, violating the federal stroller regulation. In addition, the hand-held infant carrier accessory sold with the stroller travel system fails to meet the markings, labeling, and instructional literature requirements under the hand-held infant carrier standard.","CPSC urges consumers to stop using the strollers immediately and dispose of them. Do not sell or give away these hazardous products.",,,,,,,,,China,,
25-242,"May 1, 2025","CPSC Warns Consumers to Immediately Stop Using Elephtt-baby Infant Swings Due to Risk of Serious Injury or Death from Suffocation Hazard; Multiple Federal Safety Violations","Elephtt-baby Infant Swings","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Elephtt-baby Infant Swings.&nbsp;The swings were marketed for infant sleep and have an incline angle greater than 10 degrees, in violation of the&nbsp;Safe Sleep for Babies Act and posing a suffocation hazard. These products create an unsafe sleeping environment for infants and can cause death or serious injury to infants.Furthermore, the swings violate the mandatory federal regulations for consumer products containing button cell and coin batteries.&nbsp;The remote controls for the swings contain a&nbsp;lithium coin battery and the products do not bear the warning labels required under Reese’s Law.&nbsp;If button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries,&nbsp;including internal chemical burns, and death.CPSC issued a Notice of Violation to the seller, Qingdaoyisikedianzishangwuyouxiangongsi, of China, doing business as Elephtt-baby. Elephtt-baby has not agreed to recall these infant swings or offer a remedy to consumers.&nbsp;About 2,500 infant swings were sold online at Amazon.com for about $90. The swings are labeled with&nbsp;model RS003&nbsp;and have a white base. The cloth around the seat is dark or light gray with white “coolbaby” brand label on the base and in embroidery on the restraints.These products were manufactured in China.CPSC urges consumers to stop using the infant swings immediately and dispose of them.&nbsp;Button cell and coin batteries are hazardous. The battery in the remotes should be disposed of or recycled following local hazardous waste procedures.&nbsp;Do not sell or give away these hazardous infant swings.Parents and caregivers are reminded:&nbsp;The best place for an infant to sleep is on a firm, flat surface in a crib, bassinet or play yard.&nbsp;Use a fitted sheet only and never add blankets, pillows, padded crib bumpers, or other items to an infant’s sleeping environment.&nbsp;Infants should always be placed to sleep on their back. Infants who fall asleep in an inclined or upright position should be moved to a safe sleep environment with a firm, flat surface such as a crib, bassinet or play yard.&nbsp;Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The swings were marketed for infant sleep and have an incline angle greater than 10 degrees, in violation of the&nbsp;https://www.cpsc.gov/Newsroom/News-Releases/2023/CPSC-Approves-Rules-Im… Sleep for Babies Act and posing a suffocation hazard. These products create an unsafe sleeping environment for infants and can cause death or serious injury to infants.","CPSC urges consumers to stop using the infant swings immediately and dispose of them. Button cell and coin batteries are hazardous. The battery in the remotes should be disposed of or recycled following local hazardous waste procedures. Do not sell or give away these hazardous infant swings.",,,,"Sold At","About 2,500 infant swings were sold online at Amazon.com for about $90. The swings are labeled with&nbsp;model RS003&nbsp;and have a white base. The cloth around the seat is dark or light gray with white “coolbaby” brand label on the base and in embroidery on the restraints.",,,,China,,
25-241,"April 24, 2025","CPSC Warns Consumers to Immediately Stop Using RiKiss Submersible LED Lights Due to Risk of Serious Injury or Death from Ingestion Hazard; Violations of Federal Regulations for Consumer Products with Coin Batteries; Sold on Amazon by RiKiss","RiKiss Submersible LED Lights","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using&nbsp;RiKiss Submersible LED Lights. The product violates the mandatory federal regulations for consumer products containing button cell or coin batteries because the lithium coin batteries in the lights and remote control can be accessed easily by children, posing an ingestion hazard.&nbsp;In addition, the products do not bear&nbsp;the required warnings.&nbsp;Reese’s Law&nbsp;and CPSC regulations that implement it establish performance and warning label requirements for consumer products with button cell or coin batteries to protect children from life threatening ingestion. If a child swallows a button cell or coin battery, it can cause serious injuries, internal chemical burns or death.The CPSC issued a Notice of Violation to the seller,&nbsp;Huizhoushiquanhaibaihuoyouxiangongsi, of China, doing business as&nbsp;RiKiss. RiKiss has not agreed to offer a remedy to consumers.&nbsp;About 7,747 LED lights were sold by RiKiss online at&nbsp;Amazon.com from March 2024 for about $19. A sticker on the front of the&nbsp;LED lights’ packaging bears the words “RiKiss Submersibe LED Lights” followed by “Model: R3022.”&nbsp;The product includes 10 color changing lights, a remote control, 20 preinstalled CR2032 lithium batteries in the lights and two preinstalled CR2032 lithium batteries in the remote control.These products were manufactured in China.CPSC urges consumers to stop using the LED lights immediately and dispose of them in accordance with local disposal requirements.&nbsp;Do not sell or give away these hazardous LED lights.Note:&nbsp;Button cell and coin batteries are hazardous.&nbsp;If disposing of or recycling button cell or coin batteries, do so in a manner that follows local hazardous waste procedures.&nbsp;Report any incidents involving injury or product defect to CPSC at&nbsp;www.SaferProducts.gov.","The product violates the mandatory federal regulations for consumer products containing button cell or coin batteries because the lithium coin batteries in the lights and remote control can be accessed easily by children, posing an ingestion hazard. In addition, the products do not bear the required warnings.&nbsp;","CPSC urges consumers to stop using the LED lights immediately and dispose of them in accordance with local disposal requirements. Do not sell or give away these hazardous LED lights.",,,,"Sold At","About 7,747 LED lights were sold by RiKiss online at Amazon.com from March 2024 for about $19.&nbsp;",,,,China,,
